Tarea;Maquina;Turno
idt_1;0;0
idt_1;0;1
idt_1;0;2
idt_1;0;3
idt_1;0;4
idt_1;0;5
idt_1;0;6
idt_1;0;7
idt_1;0;8
idt_1;0;9
idt_1;0;10
idt_1;0;11
idt_1;0;12
idt_1;0;13
idt_1;0;14
idt_1;0;15
idt_1;0;16
idt_1;0;17
idt_1;0;18
idt_1;0;19
idt_1;0;20
idt_1;0;21
idt_1;0;22
idt_1;0;23
idt_1;0;24
idt_1;0;25
idt_1;0;26
idt_1;0;27
idt_1;0;28
idt_1;0;29
idt_1;0;30
idt_1;0;31
idt_1;0;32
idt_1;0;33
idt_1;0;34
idt_1;0;35
idt_1;0;36
idt_1;0;37
idt_1;0;38
idt_1;0;39
idt_1;0;40
idt_1;0;41
idt_1;0;42
idt_1;0;43
idt_1;0;44
idt_1;0;45
idt_1;0;46
idt_1;0;47
idt_1;0;48
idt_1;0;49
idt_1;0;50
idt_1;0;51
idt_1;0;52
idt_1;0;53
idt_1;0;54
idt_1;0;55
idt_1;0;56
idt_1;0;57
idt_1;0;58
idt_1;0;59
idt_1;0;60
idt_1;0;61
idt_1;0;62
idt_1;0;63
idt_1;0;64
idt_1;0;65
idt_1;0;66
idt_1;0;67
idt_1;0;68
idt_1;0;69
idt_1;0;70
idt_1;0;71
idt_1;0;72
idt_1;0;73
idt_1;0;74
idt_1;0;75
idt_1;0;76
idt_1;0;77
idt_1;0;78
idt_1;0;79
idt_1;0;80
idt_1;0;81
idt_1;0;82
idt_1;0;83
idt_1;0;84
idt_1;0;85
idt_1;0;86
idt_1;0;87
idt_1;0;88
idt_1;0;89
idt_1;0;90
idt_1;0;91
idt_1;0;92
idt_1;0;93
idt_1;0;94
idt_1;0;95
idt_1;0;96
idt_1;0;97
idt_1;0;98
idt_1;0;99
idt_1;0;100
idt_1;0;101
idt_1;0;102
idt_1;0;103
idt_1;0;104
idt_1;0;105
idt_1;0;106
idt_1;0;107
idt_1;0;108
idt_1;0;109
idt_1;0;110
idt_1;0;111
idt_1;0;112
idt_1;0;113
idt_1;0;114
idt_1;0;115
idt_1;0;116
idt_1;0;117
idt_1;0;118
idt_1;0;119
idt_1;0;120
idt_1;0;121
idt_1;0;122
idt_1;0;123
idt_1;0;124
idt_1;0;125
idt_1;0;126
idt_1;0;127
idt_1;0;128
idt_1;0;129
idt_1;0;130
idt_1;0;131
idt_1;0;132
idt_1;0;133
idt_1;0;134
idt_1;0;135
idt_1;0;136
idt_1;0;137
idt_1;0;138
idt_1;0;139
idt_1;0;140
idt_1;0;141
idt_1;0;142
idt_1;0;143
idt_1;0;144
idt_1;0;145
idt_1;0;146
idt_1;0;147
idt_1;0;148
idt_1;0;149
idt_1;0;150
idt_1;0;151
idt_1;0;152
idt_1;0;153
idt_1;0;154
idt_1;0;155
idt_1;0;156
idt_1;0;157
idt_1;0;158
idt_1;0;159
idt_1;0;160
idt_1;0;161
idt_1;0;162
idt_1;0;163
idt_1;0;164
idt_1;0;165
idt_1;0;166
idt_1;0;167
idt_1;0;168
idt_1;0;169
idt_1;0;170
idt_1;0;171
idt_1;0;172
idt_1;0;173
idt_1;0;174
idt_1;0;175
idt_1;0;176
idt_1;0;177
idt_1;0;178
idt_1;0;179
idt_1;0;180
idt_1;0;181
idt_1;0;182
idt_1;0;183
idt_1;0;184
idt_1;0;185
idt_1;0;186
idt_1;0;187
idt_1;0;188
idt_1;0;189
idt_1;0;190
idt_1;0;191
idt_1;0;192
idt_1;0;193
idt_1;0;194
idt_1;0;195
idt_1;0;196
idt_1;0;197
idt_1;0;198
idt_1;0;199
idt_1;0;200
idt_1;0;201
idt_1;0;202
idt_1;0;203
idt_1;0;204
idt_1;0;205
idt_1;0;206
idt_1;0;207
idt_1;0;208
idt_1;0;209
idt_1;0;210
idt_1;0;211
idt_1;0;212
idt_1;0;213
idt_1;0;214
idt_1;0;215
idt_1;0;216
idt_1;0;217
idt_1;0;218
idt_1;0;0
idt_1;0;1
idt_1;0;2
idt_1;0;3
idt_1;0;4
